,returns,garch_rolling_95_t,garch_rolling_99_t,garch_rolling_95_n,garch_rolling_99_n
2017-05-05,0.4080359407478359,-0.6822011473525038,-1.1902477910447355,-0.7709763778440901,-1.1125024514818151
2017-05-08,0.0037445271907879,-0.6905633075904976,-1.2034551246543144,-0.7891971750681251,-1.1390718937799333
2017-05-09,-0.1025774556793217,-0.6545285879023088,-1.1412132864532283,-0.762037475540682,-1.100679564122103
2017-05-10,0.1129962717449474,-0.6365367752735549,-1.117742285288845,-0.7520086430663651,-1.0852212337618987
2017-05-11,-0.2165151374106618,-0.6084053779134023,-1.0687631050767974,-0.7342013574828523,-1.0601432920388998
2017-05-12,-0.1479535340794259,-0.6124646405061323,-1.0727488429972845,-0.7464109971215944,-1.0768461311710764
2017-05-15,0.4765142303015233,-0.5991863867573797,-1.0474756017800821,-0.7409634951952019,-1.0690547240384112
2017-05-16,-0.0687133036986045,-0.6463272833927196,-1.123712868959513,-0.78404230947283,-1.1308685192418064
2017-05-17,-1.834546817111504,-0.617167307028317,-1.0735028857491726,-0.7577434386810414,-1.0936809378572572
2017-05-18,0.3680038627215951,-1.4090951091526631,-2.444997132059283,-1.5891180922753427,-2.26687065755913
2017-05-19,0.67447032082007,-1.278800029486373,-2.2307069725619604,-1.4027919620965739,-2.004066453762376
2017-05-22,0.514686329600843,-1.2395900396682014,-2.169758842291941,-1.3253524441093387,-1.8938165278144823
2017-05-23,0.183618517238041,-1.1662316736278409,-2.039166996718163,-1.2288632386874037,-1.7578958916797396
2017-05-24,0.2486033804576294,-1.065654414393965,-1.8742424891565137,-1.1089076852788546,-1.5889849121549333
2017-05-25,0.4432112041978174,-0.9848352820713477,-1.7321521069367891,-1.0214496545034475,-1.465512295298512
2017-05-26,0.0310501785302423,-0.9412045541494278,-1.6531033588199469,-0.9828061211461555,-1.411528784696673
2017-05-30,-0.1205350729533819,-0.8677437181237818,-1.52618471913202,-0.9112520472971962,-1.3105828866987137
2017-05-31,-0.0460074619951327,-0.8128012018982029,-1.4381328627157655,-0.8650466286139772,-1.2458625714148723
2017-06-01,0.7542595584847225,-0.7570559261358406,-1.341324502419229,-0.8240539718603054,-1.1880053686815268
2017-06-02,0.370087461804602,-0.8484839865216113,-1.4995187494978168,-0.9409188902312843,-1.3544940205297946
2017-06-05,-0.1218407140428638,-0.8128536065653458,-1.4353677163259098,-0.9059911233336,-1.3054290155632222
